1.000000000000000056e-01;8.620360336445635185e+06
2.000000000000000111e-01;8.474896365120191127e+06
3.000000000000000444e-01;8.430611586992006749e+06
4.000000000000000222e-01;8.447262788999179378e+06
5.000000000000000000e-01;8.471952813259448856e+06
6.000000000000000888e-01;8.455490389957871288e+06
7.000000000000000666e-01;8.367058558528979309e+06
8.000000000000000444e-01;8.202485720831051469e+06
9.000000000000000222e-01;7.983854756124616601e+06
1.000000000000000000e+00;7.751925300365927629e+06
1.100000000000000089e+00;7.552464028458846733e+06
1.200000000000000178e+00;7.423580771328973584e+06
1.300000000000000044e+00;7.384573523271403275e+06
1.400000000000000133e+00;7.432763979590695351e+06
1.500000000000000000e+00;7.545953562972594984e+06
1.600000000000000089e+00;7.690979515806295909e+06
1.700000000000000178e+00;7.834604268171984702e+06
1.800000000000000044e+00;7.953462230127047747e+06
1.900000000000000133e+00;8.039956338173082098e+06
2.000000000000000000e+00;8.103127446390794590e+06
2.100000000000000089e+00;8.163810681051360443e+06
2.200000000000000178e+00;8.246539441994457506e+06
2.300000000000000266e+00;8.369495372415288351e+06
2.400000000000000355e+00;8.537116748870106414e+06
2.500000000000000000e+00;8.734800243331236765e+06
2.600000000000000089e+00;8.930081884961934760e+06
2.700000000000000178e+00;9.077308741950156167e+06
2.800000000000000266e+00;9.127228909712962806e+06
2.900000000000000355e+00;9.038060383657393977e+06
3.000000000000000000e+00;8.785482420686891302e+06
3.100000000000000089e+00;8.370572554193009622e+06
3.200000000000000178e+00;7.823136514297660440e+06
3.300000000000000266e+00;7.195263035231240094e+06
3.400000000000000355e+00;6.556142257243691012e+06
3.500000000000000000e+00;5.974481252204870805e+06
3.600000000000000089e+00;5.508237570950533263e+06
3.700000000000000178e+00;5.188811786910168827e+06
3.800000000000000266e+00;5.017340088517761789e+06
3.900000000000000355e+00;4.963483821246958338e+06
4.000000000000000000e+00;4.975181091360262595e+06
4.100000000000000533e+00;4.992337806100032292e+06
4.200000000000000178e+00;4.963572145120830275e+06
4.299999999999999822e+00;4.860303586533300579e+06
4.400000000000000355e+00;4.684144871186854318e+06
4.500000000000000000e+00;4.466589370864204131e+06
4.600000000000000533e+00;4.258123421515303664e+06
4.700000000000000178e+00;4.114011060725318734e+06
4.800000000000000711e+00;4.075807794939093757e+06
4.900000000000000355e+00;4.159156989630061202e+06
5.000000000000000000e+00;4.347423760533553548e+06
5.100000000000000533e+00;4.596467500766035169e+06
5.200000000000000178e+00;4.846148248298846185e+06
5.300000000000000711e+00;5.038496645351844840e+06
5.400000000000000355e+00;5.132543954415223561e+06
5.500000000000000000e+00;5.116235762435703538e+06
5.600000000000000533e+00;5.007002775793656707e+06
5.700000000000000178e+00;4.844604280516221188e+06
5.800000000000000711e+00;4.677177180828843266e+06
5.900000000000000355e+00;4.544605935694558546e+06
6.000000000000000000e+00;4.465968865859400481e+06
6.100000000000000533e+00;4.434616533667964861e+06
6.200000000000000178e+00;4.421342193367950618e+06
6.300000000000000711e+00;4.385736791359943338e+06
6.400000000000000355e+00;4.290360428330740891e+06
6.500000000000000000e+00;4.114209921516623814e+06
6.600000000000000533e+00;3.858978702965724748e+06
6.700000000000000178e+00;3.549026655207889620e+06
6.800000000000000711e+00;3.222197258206309751e+06
6.900000000000000355e+00;2.918181912721739151e+06
7.000000000000000000e+00;2.665811969120153226e+06
7.100000000000000533e+00;2.476177872125173453e+06
7.200000000000000178e+00;2.341973182502684183e+06
7.300000000000000711e+00;2.244088652631164063e+06
7.400000000000000355e+00;2.162464949212853797e+06
7.500000000000000000e+00;2.085953409743881784e+06
7.600000000000000533e+00;2.019196884186512092e+06
7.700000000000000178e+00;1.981809746264181100e+06
7.800000000000000711e+00;2.001598765541031724e+06
7.900000000000000355e+00;2.103747314519803505e+06
8.000000000000000000e+00;2.299434941185266711e+06
8.099999999999999645e+00;2.580195914632315282e+06
8.200000000000001066e+00;2.916825906837649643e+06
8.300000000000000711e+00;3.266215182801295538e+06
8.400000000000000355e+00;3.584022663478686009e+06
8.500000000000000000e+00;3.833669437026411295e+06
8.599999999999999645e+00;3.996561000000000000e+06
8.700000000000001066e+00;4.072007888980323449e+06
8.800000000000000711e+00;4.074035894335079938e+06
8.900000000000000355e+00;4.022271019130245782e+06
9.000000000000000000e+00;3.933350409977911972e+06
9.099999999999999645e+00;3.815779380461002234e+06
9.200000000000001066e+00;3.669950388124434743e+06
9.300000000000000711e+00;3.493139251667676494e+06
9.400000000000000355e+00;3.288470754305478185e+06
9.500000000000000000e+00;3.070795868293467909e+06
9.600000000000001421e+00;2.870339344341092277e+06
9.700000000000001066e+00;2.727235356688407250e+06
9.800000000000000711e+00;2.683065982238997240e+06
9.900000000000000355e+00;2.767529940216589719e+06
1.000000000000000000e+01;2.988313390007138718e+06
1.010000000000000142e+01;3.326334917125361040e+06
1.020000000000000107e+01;3.739196962406213395e+06
1.030000000000000071e+01;4.170904966834543739e+06
1.040000000000000036e+01;4.567170533806910738e+06
1.050000000000000000e+01;4.887522936086237431e+06
1.060000000000000142e+01;5.115024728182738647e+06
1.070000000000000107e+01;5.255585999867675826e+06
1.080000000000000071e+01;5.332632220581971109e+06
1.090000000000000036e+01;5.375243721868491732e+06
1.100000000000000000e+01;5.408159844679615460e+06
1.110000000000000142e+01;5.444660519799666479e+06
1.120000000000000107e+01;5.486358879505161196e+06
1.130000000000000071e+01;5.528546674538271502e+06
1.140000000000000036e+01;5.568610960871723481e+06
1.150000000000000000e+01;5.613106565977204591e+06
1.160000000000000142e+01;5.680283445992747322e+06
1.170000000000000107e+01;5.796233135164356790e+06
1.180000000000000071e+01;5.985335619303735904e+06
1.190000000000000036e+01;6.260572725967346691e+06
1.200000000000000000e+01;6.613893457982169464e+06
1.210000000000000142e+01;7.016489529344920069e+06
1.220000000000000107e+01;7.422770251622895710e+06
1.230000000000000071e+01;7.784985731812846847e+06
1.240000000000000036e+01;8.066030687616158277e+06
1.250000000000000000e+01;8.251718111126934178e+06
1.260000000000000142e+01;8.356161126497437246e+06
