chemical_shift;intensity
31.900000;16.596122
32.000000;16.519265
32.100000;16.483373
32.200000;16.462582
32.300000;16.462542
32.400000;16.610754
32.500000;16.773321
32.600000;16.967878
32.700000;17.141954
32.800000;17.238198
32.900000;17.322353
33.000000;17.370455
33.100000;17.412596
33.200000;17.433887
33.300000;17.453480
33.400000;17.473923
33.500000;17.473883
33.600000;17.452478
33.700000;17.428743
33.800000;17.413465
33.900000;17.381669
34.000000;17.325295
34.100000;17.240246
34.200000;17.155196
34.300000;17.053761
34.400000;16.968712
34.500000;16.887759
34.600000;16.790421
34.700000;16.680793
34.800000;16.525118
34.900000;16.379695
35.000000;16.132872
35.100000;16.061969
35.200000;16.398897
35.300000;16.752223
35.400000;16.881222
35.500000;17.002044
35.600000;17.113618
35.700000;17.190355
35.800000;17.250786
35.900000;17.284493
36.000000;17.313128
36.100000;17.321282
36.200000;17.321242
36.300000;17.323342
36.400000;17.350962
36.500000;17.490163
36.600000;17.805400
36.700000;18.136736
36.800000;18.426419
36.900000;18.566421
37.000000;18.635005
37.100000;18.699493
37.200000;18.735305
37.300000;18.762748
37.400000;18.783190
37.500000;18.787247
37.600000;18.785980
37.700000;18.770570
37.800000;18.742067
37.900000;18.709256
38.000000;18.660059
38.100000;18.618808
38.200000;18.550914
38.300000;18.465096
38.400000;18.300918
38.500000;18.102465
38.600000;18.118357
38.700000;18.195134
38.800000;18.243235
38.900000;18.295119
39.000000;18.347632
39.100000;18.395734
39.200000;18.439739
39.300000;18.471456
39.400000;18.475163
39.500000;18.462834
39.600000;18.438216
39.700000;18.421790
39.800000;18.401900
39.900000;18.382393
40.000000;18.364321
40.100000;18.335606
40.200000;18.298698
40.300000;18.255211
40.400000;18.211126
40.500000;18.162944
40.600000;18.114763
40.700000;18.110064
40.800000;18.152491
40.900000;18.192400
41.000000;18.224116
41.100000;18.245087
41.200000;18.265529
41.300000;18.269586
41.400000;18.269546
41.500000;18.265410
41.600000;18.251510
41.700000;18.236656
41.800000;18.204304
41.900000;18.183323
42.000000;18.161195
42.100000;18.134086
42.200000;18.109893
42.300000;18.090387
42.400000;18.062687
42.500000;18.027420
42.600000;17.999096
42.700000;17.955011
42.800000;17.915023
42.900000;17.875034
43.000000;17.838785
43.100000;17.799153
43.200000;17.744488
43.300000;17.707580
43.400000;17.670673
43.500000;17.617379
43.600000;17.550054
43.700000;17.477294
43.800000;17.376146
43.900000;17.278520
44.000000;17.222146
44.100000;17.198543
44.200000;17.174940
44.300000;17.170551
44.400000;17.154125
44.500000;17.112325
44.600000;17.027275
44.700000;16.963943
44.800000;16.885852
44.900000;16.792610
45.000000;16.650580
45.100000;16.499618
45.200000;16.635106
45.300000;16.818725
45.400000;16.989720
45.500000;17.082883
45.600000;17.180142
45.700000;17.243730
45.800000;17.292731
45.900000;17.324447
46.000000;17.343874
46.100000;17.354174
46.200000;17.350038
46.300000;17.337709
46.400000;17.321284
46.500000;17.295697
46.600000;17.259758
46.700000;17.239236
46.800000;17.188021
46.900000;17.093776
47.000000;16.972874
47.100000;16.826366
47.200000;16.589748
47.300000;16.468869
47.400000;16.431961
47.500000;16.400144
47.600000;16.378628
47.700000;16.354010
47.800000;16.341680
47.900000;16.333448
48.000000;16.298515
48.100000;16.263729
48.200000;16.206249
48.300000;16.126221
48.400000;16.101909
48.500000;16.293385
48.600000;16.431734
48.700000;16.556652
48.800000;16.702053
48.900000;16.821700
49.000000;16.931567
49.100000;17.043181
49.200000;17.146249
49.300000;17.236524
49.400000;17.324381
49.500000;17.388869
49.600000;17.445164
49.700000;17.505555
49.800000;17.570042
49.900000;17.625550
50.000000;17.707210
50.100000;17.788084
50.200000;17.947314
50.300000;18.078657
50.400000;18.363074
50.500000;18.757182
50.600000;19.045398
50.700000;19.401782
50.800000;19.954795
50.900000;20.518357
51.000000;21.184376
51.100000;21.952468
51.200000;22.909693
51.300000;23.698952
51.400000;24.409044
51.500000;25.430581
51.600000;26.354236
51.700000;27.309854
51.800000;28.532072
51.900000;30.374206
52.000000;31.612373
52.100000;33.049954
52.200000;35.122183
52.300000;37.055938
52.400000;40.047714
52.500000;42.573645
52.600000;44.459786
52.700000;48.550204
52.800000;51.079010
52.900000;53.819231
53.000000;57.907530
53.100000;60.531339
53.200000;63.729733
53.300000;67.464560
53.400000;70.427064
53.500000;72.739739
53.600000;76.197855
53.700000;78.741733
53.800000;82.618103
53.900000;86.070114
54.000000;88.414882
54.100000;91.530595
54.200000;93.443036
54.300000;95.061415
54.400000;96.624624
54.500000;98.095735
54.600000;99.466562
54.700000;99.844279
54.800000;99.893771
54.900000;99.924097
55.000000;99.959234
55.100000;99.975580
55.200000;99.987830
55.300000;99.991887
55.400000;99.995943
55.500000;100.000000
55.600000;99.997185
55.700000;99.991728
55.800000;99.982751
55.900000;99.958877
56.000000;99.931449
56.100000;99.895557
56.200000;99.693473
56.300000;99.073350
56.400000;98.197689
56.500000;97.412859
56.600000;96.382514
56.700000;95.053470
56.800000;93.589242
56.900000;91.464692
57.000000;89.168735
57.100000;86.740400
57.200000;83.781204
57.300000;81.760001
57.400000;78.166884
57.500000;75.772309
57.600000;72.591816
57.700000;69.436179
57.800000;66.515536
57.900000;63.764920
58.000000;60.572329
58.100000;57.420881
58.200000;54.682361
58.300000;51.447235
58.400000;49.255781
58.500000;46.882982
58.600000;44.790518
58.700000;43.030145
58.800000;41.198739
58.900000;39.982515
59.000000;38.796993
59.100000;37.462423
59.200000;36.883536
59.300000;35.874843
59.400000;34.974418
59.500000;34.262057
59.600000;33.408395
59.700000;32.675063
59.800000;32.187917
59.900000;31.911206
60.000000;31.568919
60.100000;31.204335
60.200000;30.919648
60.300000;30.624738
60.400000;30.285923
60.500000;29.958937
60.600000;29.645362
60.700000;29.366448
60.800000;29.124093
60.900000;28.815771
61.000000;28.376887
61.100000;27.899210
61.200000;27.517294
61.300000;27.055129
61.400000;26.632668
61.500000;26.150650
61.600000;25.566994
61.700000;25.115716
61.800000;24.730334
61.900000;24.441444
62.000000;24.180989
62.100000;23.775330
62.200000;22.892180
62.300000;22.389325
62.400000;21.874574
62.500000;21.372010
62.600000;20.992331
62.700000;20.665710
62.800000;20.290880
62.900000;19.997226
63.000000;19.672873
63.100000;19.402435
63.200000;19.148382
63.300000;18.830470
63.400000;18.648565
63.500000;18.280098
63.600000;18.016203
63.700000;17.824864
63.800000;17.654172
63.900000;17.500266
64.000000;17.129447
64.100000;16.732436
64.200000;16.258493
64.300000;15.801234
64.400000;15.183701
64.500000;14.730240
64.600000;14.293075
64.700000;13.715620
64.800000;12.709200
64.900000;12.157303
65.000000;11.866167
65.100000;11.562924
65.200000;11.309933
65.300000;11.044087
65.400000;10.793173
65.500000;10.581596
65.600000;10.343837
65.700000;10.127332
65.800000;10.013020
65.900000;9.746251
66.000000;9.502029
66.100000;9.298415
66.200000;9.080410
66.300000;8.914448
66.400000;8.728003
66.500000;8.476016
66.600000;8.314150
66.700000;8.169327
66.800000;8.234052
66.900000;8.333761
67.000000;8.378782
67.100000;8.411514
67.200000;8.423763
67.300000;8.438770
67.400000;8.452359
67.500000;8.448223
67.600000;8.444087
67.700000;8.431758
67.800000;8.419428
67.900000;8.398146
68.000000;8.354061
68.100000;8.307151
68.200000;8.241313
68.300000;8.171060
68.400000;8.038885
68.500000;7.938245
68.600000;7.800957
68.700000;7.684152
68.800000;7.640709
68.900000;7.925015
69.000000;8.110703
69.100000;8.273387
69.200000;8.500344
69.300000;8.681597
69.400000;8.877323
69.500000;9.051398
69.600000;9.233549
69.700000;9.435284
69.800000;9.681476
69.900000;9.966676
70.000000;10.134874
70.100000;10.256712
70.200000;10.319218
70.300000;10.368335
70.400000;10.392874
70.500000;10.404059
70.600000;10.421469
70.700000;10.425526
70.800000;10.417294
70.900000;10.410091
71.000000;10.398778
71.100000;10.384403
71.200000;10.355668
71.300000;10.311583
71.400000;10.263402
71.500000;10.210055
71.600000;10.076809
71.700000;10.008254
71.800000;10.025758
71.900000;10.086150
72.000000;10.158830
72.100000;10.235607
72.200000;10.324673
72.300000;10.410781
72.400000;10.511121
72.500000;10.595968
72.600000;10.672745
72.700000;10.741329
72.800000;10.809913
72.900000;10.866208
73.000000;10.916183
73.100000;10.973494
73.200000;11.014418
73.300000;11.050423
73.400000;11.083978
73.500000;11.101566
73.600000;11.120766
73.700000;11.137112
73.800000;11.141169
73.900000;11.141129
74.000000;11.124443
74.100000;11.108278
74.200000;11.085431
74.300000;11.045442
74.400000;11.013646
