epoch,train_loss,train_recon_loss,train_kl_loss,val_loss,val_recon_loss,val_kl_loss,val_mu_L1,val_pi_L1
1,0.6545350300828451,0.5544882261919725,10.004680648094586,0.339836566997089,0.24458263299876837,9.525393572070902,8.484761238098145,0.08306075632572174
2,0.2985035520919076,0.21823894900721624,8.026460491435794,0.3038392682119811,0.23171140151701386,7.212786822296161,5.447788715362549,0.10057726502418518
3,0.2588174496571555,0.19806964948474215,6.074780175630495,0.26009812097040585,0.20542389660073127,5.467422578832228,4.73284387588501,0.08367132395505905
4,0.23622832400864285,0.18736631983812457,4.886200497614207,0.24851437397211862,0.20350968433048228,4.500469081121669,4.586747646331787,0.09371783584356308
5,0.22124857494998038,0.18031981743108724,4.09287583691684,0.24830030580218748,0.21092776206435918,3.7372544629396582,5.346002578735352,0.09058206528425217
6,0.20950536262628364,0.17461678143563758,3.48885818686019,0.24000229030776082,0.2068719918386256,3.3130298892942838,6.105725288391113,0.08490899950265884
7,0.2035998591231814,0.17028850718784336,3.3311352414843562,0.22977627672665982,0.196519705379824,3.3256572264847426,4.862911224365234,0.08894995599985123
8,0.19935088690861646,0.1671666317388729,3.218425571580698,0.19956743549242867,0.16780882845107886,3.1758608143392513,2.9250218868255615,0.07810366898775101
9,0.19609037157702172,0.16457550554316652,3.1514866735510094,0.20120416751368153,0.16927461841588112,3.192954975924046,3.175748348236084,0.09073450416326523
10,0.19386715800049975,0.1627762721448089,3.1090886637955326,0.1949832786312349,0.16321298166466275,3.1770297754868615,2.847714424133301,0.08831410109996796
