file,num_valid_nodes,max_intensity,mean_intensity,num_above_threshold
1493.pt,18,5.229517936706543,1.0000000198682149,1
7567.pt,20,5.165288925170898,0.9999999597668647,1
18047.pt,33,5.080049514770508,1.0000000406395306,4
1250.pt,23,5.06942892074585,0.9999999818594559,1
7846.pt,36,5.020920753479004,1.0000000364250607,2
1856.pt,51,5.0,0.9999999859753776,4
19411.pt,19,4.988185882568359,1.0000000250966925,1
5079.pt,24,4.9627790451049805,0.9999999913076559,2
7585.pt,20,4.889975070953369,0.9999999374151229,2
1273.pt,21,4.889406204223633,0.9999999985808418,1
22322.pt,16,4.876562118530273,0.9999999962747097,1
7504.pt,19,4.828463077545166,1.000000078427164,1
7507.pt,19,4.738154411315918,0.9999999498066149,2
7613.pt,21,4.7361297607421875,0.9999999545869374,2
5979.pt,17,4.71829080581665,1.0000000911600448,1
6659.pt,10,4.688232421875,0.9999999463558197,1
1602.pt,16,4.6783623695373535,0.9999999701976776,2
7804.pt,32,4.663363456726074,1.0000000223517418,2
51275.pt,25,4.629629611968994,0.9999999773502349,4
2929.pt,19,4.610531330108643,1.0000000156854327,1
19847.pt,10,4.593477725982666,1.0000000834465026,2
7635.pt,22,4.56905460357666,0.999999884177338,1
7583.pt,20,4.5620436668396,0.9999999582767487,1
7831.pt,17,4.512875080108643,0.9999999807161444,1
16342.pt,20,4.453308582305908,1.00000002682209,2
7734.pt,16,4.4198899269104,1.000000074505806,1
7584.pt,20,4.3975372314453125,0.9999999403953552,2
17241.pt,20,4.389815807342529,1.0000000596046448,2
7646.pt,22,4.354711055755615,0.9999999905174429,3
7582.pt,20,4.324324607849121,1.000000035762787,1
908.pt,16,4.2757887840271,1.0000000707805157,1
41212.pt,11,4.261913776397705,0.9999999512325634,1
51394.pt,24,4.231405258178711,1.0000000496705372,1
10976.pt,19,4.226918697357178,0.9999999905887403,1
2488.pt,42,4.200840473175049,1.0000000624429612,2
1696.pt,20,4.0808000564575195,1.0000000230967998,1
19490.pt,15,4.066059589385986,1.0000000794728596,1
7729.pt,16,4.050632953643799,1.0000000121071935,2
16099.pt,38,4.028331756591797,0.9999999921572836,4
51164.pt,8,4.004004001617432,0.9999999925494194,1
331.pt,15,3.994673490524292,0.9999999483426412,1
7468.pt,15,3.974562406539917,0.9999999225139617,1
7550.pt,20,3.9674668312072754,0.9999999880790711,2
51062.pt,10,3.935458183288574,0.9999999105930328,1
7882.pt,42,3.912071704864502,1.0000000454130626,4
13741.pt,29,3.866666793823242,1.0000000061659977,4
7834.pt,17,3.8253824710845947,1.0,2
7914.pt,18,3.824091672897339,0.999999976820416,1
7839.pt,35,3.7174720764160156,0.9999999940395355,7
7774.pt,16,3.688335657119751,1.0000000186264515,2
7835.pt,34,3.6876354217529297,0.9999999859753776,2
16646.pt,37,3.6764707565307617,1.000000046717154,8
7803.pt,32,3.6764705181121826,0.9999999981373549,2
253.pt,12,3.650745391845703,1.0,1
11012.pt,38,3.6398470401763916,1.000000083132794,8
5832.pt,26,3.636363983154297,1.0000000916994536,5
1304.pt,10,3.6101086139678955,1.0000000834465026,2
4320.pt,10,3.6101086139678955,1.0000000834465026,2
11663.pt,34,3.609341859817505,1.0000000017530777,3
7849.pt,36,3.58208966255188,1.0000000049670537,3
45579.pt,8,3.5810205936431885,1.0,1
5938.pt,30,3.573981761932373,1.0000000953674317,6
10962.pt,11,3.5667965412139893,1.0000000325116245,1
7848.pt,36,3.564356565475464,1.000000048842695,5
16405.pt,22,3.557567834854126,0.9999999512325634,2
7500.pt,19,3.512014627456665,0.9999999529437015,2
5852.pt,28,3.5096514225006104,0.9999999574252537,2
7259.pt,13,3.494623899459839,1.0000000504346995,1
11689.pt,34,3.478616952896118,1.0000000613577225,2
7642.pt,22,3.475513219833374,0.9999999539418654,2
19070.pt,36,3.4509201049804688,0.9999999668863084,2
19459.pt,11,3.4246575832366943,0.999999997290698,2
7764.pt,29,3.415782928466797,0.9999998941503722,6
16842.pt,9,3.350707530975342,1.00000003973643,1
7380.pt,14,3.334127187728882,0.9999999872275761,1
7915.pt,18,3.3333334922790527,1.0000000331136916,2
16373.pt,21,3.3131392002105713,0.9999999503294627,2
2776.pt,28,3.2933425903320312,0.9999999499746731,6
7397.pt,15,3.2708241939544678,0.9999999831120173,3
52808.pt,17,3.262415885925293,1.0000000560984892,1
5011.pt,14,3.245248317718506,1.0000000638621194,3
4970.pt,25,3.236245632171631,0.9999999105930328,5
51119.pt,22,3.230543375015259,1.0000000027093021,1
17024.pt,7,3.2287821769714355,0.9999999744551522,1
7258.pt,13,3.225806713104248,1.0000000733595629,1
