Metric,Value
count,67893.0
min,0.02486678585410118
max,14.150943756103516
mean,1.0004860599526686
std,0.4298731724137642
median,1.0243552923202515
p25,0.8003219962120056
p75,1.1681416034698486
p90,1.3211359500885012
p95,1.4477766752243042
p99,2.259036064147949
count_above_2.0,1016.0
ratio_above_2.0,0.014964723903789787
